A00.0,Cholera wywołana przecinkowcem klasycznym Vibrio cholerae 01, biotyp cholerae
A00.1,Cholera wywołana przecinkowcem Vibrio cholerae 01, biotyp El-Tor
A00.9,Cholera, nieokreślona
A01.0,Dur brzuszny
A01.1,Dur rzekomy A
A01.2,Dur rzekomy B
A01.3,Dur rzekomy C
A01.4,Dur rzekomy, nieokreślony
A02.0,Zatrucia pokarmowe wywołane przez pałeczki Salmonella
A02.1,Posocznica wywołana pałeczkami Salmonella
A02.2,Umiejscowione zakażenia pałeczkami Salmonella
A02.8,Inne określone zakażenia pałeczkami Salmonella
A02.9,Zakażenia pałeczkami Salmonella, nieokreślone
A03.0,Szigeloza wywołana przez pałeczkę Shigella dysenteriae
A03.1,Szigeloza wywołana przez pałeczkę Shigella flexneri
A03.2,Szigeloza wywołana przez pałeczkę Shigella boydii
A03.3,Szigeloza wywołana przez pałeczkę Shigella sonnei
A03.8,Inne szigelozy
A03.9,Szigeloza, nieokreślona
A04.0,Zakażenia Escherichia coli enteropatogenną
A04.1,Zakażenie Escherichia coli enterotoksyczną
A04.2,Zakażenie Escherichia coli enteroinwazyjną
A04.3,Zakażenie Escherichia coli enterokrwotoczną
A04.4,Inne jelitowe zakażenia Escherichia coli
A04.5,Zapalenie jelit wywołane przez Campylobacter
A04.6,Zapalenie jelit wywołane przez Yersinia enterocolitica
A04.7,Zapalenie jelita cienkiego i grubego wywołane przez Closcridium difficile
A04.8,Inne określone zakażenia bakteryjne jelit
A04.9,Zakażenie bakteryjne jelit, nieokreślone
A05.0,Zatrucie pokarmowe gronkowcowe
A05.1,Zatrucie jadem kiełbasianym
A05.2,Zatrucie pokarmowe wywołane przez laseczkę Closcridium perfringens
A05.3,Zatrucie pokarmowe wywołane przez Vibrio parahemolyticus
A05.4,Zatrucie pokarmowe wywołane przez Bacillus cereus
A05.8,Inne określone bakteryjne zatrucie pokarmowe
A05.9,Bakteryjne zatrucie pokarmowe, nieokreślone
A06.0,Pełzakowa czerwonka ostra
A06.1,Pełzakowica jelitowa przewlekła
A06.2,Pełzakowy nieżyt jelita grubego, nieczerwonkowy
A06.3,Guzowate nacieczenie ściany jelita
A06.4,Pełzakowy ropień wątroby
A06.5,Pełzakowy ropień płuc (J99.8*)
A06.6,Pełzakowy ropień mózgu (G07*)
A06.7,Pełzakowica skórna
A06.8,Pełzakowe zakażenie umiejscowione gdzie indziej
A06.9,Pełzakowica, nieokreślona
A07.0,Szparkoszyca [balantydioza]
A07.1,Giardiaza (lamblioza)
A07.2,Kryptosporydioza
A07.3,Izosporydoza
A07.8,Inne określone choroby jelit wywołane przez pierwotniaki
A07.9,Choroby jelit wywołane przez pierwotniaki, nieokreślone
A08.0,Nieżyt jelitowy wywołany przez rotawirusy
A08.1,Ostra gastroenteropatia wywołana przez czynnik Norwalk
A08.2,Nieżyt jelitowy wywołany przez adenowirusy
A08.3,Nieżyt jelitowy wywołany przez inne wirusy
A08.4,Zakażenia wirusowe jelit, nieokreślone
A08.5,Inne określone zakażenia jelit
A09,Biegunka i zapalenie żołądkowo-jelitowe o prawdopodobnie zakaźnym pochodzeniu
A15.0,Gruźlica płuc, potwierdzona mikroskopowym badaniem plwociny, z posiewem lub bez posiewu
A15.1,Gruźlica płuc potwierdzona wyłącznie posiewem
A15.2,Gruźlica płuc potwierdzona histologicznie
A15.3,Gruźlica płuc potwierdzona nieokreślonymi sposobami
A15.4,Gruźlica wewnątrzpiersiowych węzłów chłonnych, potwierdzona bakteriologicznie i histologicznie
A15.5,Gruźlica krtani, tchawicy i oskrzela, potwierdzona bakteriologicznie i histologicznie
A15.6,Gruźlicze zapalenie opłucnej, potwierdzone bakteriologicznie i histologicznie
A15.7,Pierwotna gruźlica układu oddechowego, potwierdzona bakteriologicznie i histologicznie
A15.8,Inne postacie gruźlicy układu oddechowego, potwierdzone bakteriologicznie i histologicznie
A15.9,Gruźlica układu oddechowego nieokreślona, potwierdzona bakteriologicznie i histologicznie
A16.0,Gruźlica płuc, bakteriologicznie i histologicznie ujemna
A16.1,Gruźlica płuc, badań bakteriologicznych i histologicznych nie przeprowadzono
A16.2,Gruźlica płuc, bez wzmiankowania o potwierdzeniu bakteriologicznym lub histologicznym
A16.3,Gruźlica wewnątrzpiersiowych węzłów chłonnych, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym
A16.4,Gruźlica krtani, tchawicy i oskrzela, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym
A16.5,Gruźlicze zapalenie opłucnej, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym
A16.7,Pierwotna gruźlica układu oddechowego, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym
A16.8,Inne postacie gruźlicy układu oddechowego, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym
A16.9,Gruźlica układu oddechowego, nieokreślona, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym
A17.0,Gruźlicze zapalenie opon mózgowych (G01*)
A17.1,Gruźliczak oponowy (G07*)
A17.8,Inne postacie gruźlicy układu nerwowego
A17.9,Gruźlica układu nerwowego, nieokreślona (G99.8*)
A18.0,Gruźlica kości i stawów
A18.1,Gruźlica układu moczowo-płciowego
A18.2,Gruźlicza obwodowa limfadenopatia
A18.3,Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych
A18.4,Gruźlica skóry i tkanki podskórnej
A18.5,Gruźlica oka
A18.6,Gruźlica ucha
A18.7,Gruźlica nadnerczy (E35.1*)
A18.8,Gruźlica innych określonych narządów
A19.0,Gruźlica prosówkowa ostra o pojedynczej określonej lokalizacji
A19.1,Gruźlica prosówkowa ostra o wielomiejscowej lokalizacji
A19.2,Gruźlica prosówkowa ostra, nieokreślona
A19.8,Inne postacie gruźlicy prosówkowej
A19.9,Gruźlica prosówkowa, nieokreślona
A20.0,Dżuma dymienicza
A20.1,Dżuma skóry i tkanki podskórnej
A20.2,Dżuma płucna
A20.3,Zapalenie opon mózgowych (dżumowe)
A20.7,Dżuma posocznicowa
A20.8,Inne postacie dżumy
A20.9,Dżuma, nieokreślona
A21.0,Tularemia, postać wrzodziejąco-węzłowa
A21.1,Tularemia, postać oczno-węzłowa
A21.2,Tularemia płucna
A21.3,Tularemia, postać żołądkowo-jelitowa
A21.7,Tularemia uogólniona
A21.8,Inne formy tularemii
A21.9,Tularemia, nieokreślona
A22.0,Wąglik skórny
A22.1,Wąglik płucny
A22.2,Wąglik jelitowy
A22.7,Posocznica wąglikowa
A22.8,Inne postacie wąglika
A22.9,Wąglik, nieokreślony
A23.0,Bruceloza wywołana pałeczką maltańską
A23.1,Bruceloza wywołana pałeczką ronienia krów
A23.2,Bruceloza wywołana pałeczką ronienia świń
A23.3,Bruceloza wywołana pałeczką psią
A23.8,Inne postacie brucelozy
A23.9,Bruceloza, nieokreślona
A24.0,Nosacizna
A24.1,Ostra i piorunująca postać melioidozy
A24.2,Podostra i przewlekła postać melioidozy
A24.3,Inne postacie melioidozy
A24.4,Melioidoza, nieokreślona
A25.0,Krętkowica (spiriloza)
A25.1,Streptobaciloza (choroba wywołana przez Streptobacillus)
A25.9,Gorączka szczurza, nieokreślona
A26.0,Różyca skórna
A26.7,Posocznica wywołana włoskowcami różycy
A26.8,Inne formy różycy
A26.9,Różyca, nieokreślona
A27.0,Żółtaczkowo-krwotoczna postać leptospirozy
A27.8,Inne formy leptospirozy
A27.9,Leptospiroza, nieokreślona
A28.0,Zakażenie wywołane przez pałeczki Pasteurella (pastereloza)
A28.1,Choroba kociego pazura
A28.2,Jersinioza pozajelitowa
A28.8,Inna określona bakteryjna choroba odzwierzęca, niesklasyfikowana gdzie indziej
A28.9,Bakteryjna choroba odzwierzęca, nieokreślona
A30.0,Trąd, nieokreślony
A30.1,Trąd tuberkuloidowy
A30.2,Trąd graniczny tuberkuloidowy
A30.3,Trąd graniczny
A30.4,Trąd graniczny lepromatyczny
A30.5,Trąd lepromatyczny
A30.8,Inne postacie trądu
A30.9,Trąd, nieokreślony
A31.0,Płucne zakażenia prątkowe
A31.1,Skórne zakażenia prątkowe
A31.8,Inne zakażenia prątkowe
A31.9,Zakażenie prątkowe, nieokreślone
A32.0,Listerioza skórna
A32.1,Listeriozowe zapalenie opon mózgowych oraz zapalenie opon mózgowych i mózgu
A32.7,Posocznica listeriozowa
A32.8,Inne postacie listeriozy
A32.9,Listerioza, nieokreślona
A33,Tężec noworodków
A34,Tężec położniczy
A35,Inne postacie tężca
A36.0,Błonica gardła
A36.1,Błonica nosowo-gardłowa
A36.2,Błonica krtani
A36.3,Błonica skóry
A36.8,Inne postacie błonicy
A36.9,Błonica, nieokreślona
A37.0,Krztusiec wywołany przez pałeczkę krztuśca [Bordetella pertussis]
A37.1,Krztusiec wywołany przez pałeczkę krztuśca rzekomego [Bordetella parapertussis]
A37.8,Krztusiec wywołany przez inne gatunki pałeczki krztuśca [Bardetella]
A37.9,Krztusiec, nieokreślony
A38,Szkarlatyna
A39.0,Zapalenie meningokokowe opon mózgowych (G01*)
A39.1,Zespół Waterhouse'a-Friderichsena (E35.1*)
A39.2,Ostra posocznicza meningokokowa
A39.3,Przewlekła posocznica meningokokowa
A39.4,Posocznica meningokokowa, nieokreślona
A39.5,Meningokokowa choroba serca
A39.8,Inne zakażenia meningokokowe
A39.9,Zakażenie meningokokowe, nieokreślone
A40.0,Posocznica wywołana przez paciorkowce grupy A
A40.1,Posocznica wywołana przez paciorkowce grupy B
A40.2,Posocznica wywołana przez paciorkowce grupy D
A40.3,Posocznica wywołana przez Streptococcus pneumoniae
A40.8,Inne posocznice paciorkowcowe
A40.9,Posocznica paciorkowcowa, nieokreślona
A41.0,Posocznica wywołana przez Staphylococcus aureus
A41.1,Posocznica wywołana przez inne określone gronkowce
A41.2,Posocznica wywołana przez nieokreślone gronkowce
A41.3,Posocznica wywołana przez Haemophilus influenzea
A41.4,Posocznica wywołana przez beztlenowce
A41.5,Posocznica wywołana przez inne bakterie Gram-ujemne
A41.8,Inna posocznica, nieokreślona
A41.9,Posocznica, nieokreślona
A42.0,Promienica płucna
A42.1,Promienica brzuszna
A42.2,Promienica szyjno-twarzowa
A42.7,Posocznica promienicza
A42.8,Inne postacie promienicy
A42.9,Promienica, nieokreślona
A43.0,Nokardioza płucna
A43.1,Nokardioza skórna
A43.8,Inne postacie nokardiozy
A43.9,Nokardioza, nieokreślona
A44.0,Bartoneloza układowa
A44.1,Bartoneloza skórna i śluzówkowo-skórna
A44.8,Inne postacie bartonelozy
A44.9,Bartoneloza, nieokreślona
A46,Róża
A48.0,Zgorzel gazowa
A48.1,Choroba legionistów
A48.2,Choroba legionistów bez objawów zapalenia płuc [Gorączka Pontiac]
A48.3,Zespół wstrząsu toksycznego
A48.4,Gorączka plamicowa brazylijska
A48.8,Inne określone choroby bakteryjne
A49.0,Zakażenie gronkowcowe, nieokreślone
A49.1,Zakażenie paciorkowcowe, nieokreślone
A49.2,Zakażenie wywołane przez pałeczkę Haemophilus influenzae, nieokreślone
A49.3,Zakażenia wywołane przez mikoplazmy
A49.8,Inne zakażenia bakteryjne o nieustalonym umiejscowieniu narządowym
A49.9,Zakażenia bakteryjne, nieokreślone
A50.0,Kiła wrodzona wczesna objawowa
A50.1,Kiła wrodzona wczesna utajona
A50.2,Kiła wrodzona wczesna, nieokreślona
A50.3,Kiłowa wrodzona późna okulopatia
A50.4,Kiła późna układu nerwowego [kiła układu nerwowego wieku młodzieńczego]
A50.5,Inne postacie kiły wrodzonej późnej objawowej
A50.6,Kiła wrodzona późna utajona
A50.7,Kiła wrodzona późna, nieokreślona
A50.9,Kiła wrodzona, nieokreślona
A51.0,Kiła pierwotna w obrębie narządów płciowych
A51.1,Kiła pierwotna w obrębie odbytu
A51.2,Kiła pierwotna o innym umiejscowieniu
A51.3,Kiła wtórna skóry i błon śluzowych
A51.4,Inne postacie kiły wtórnej
A51.5,Kiła wczesna utajona
A51.9,Kiła wczesna, nieokreślona
A52.0,Kiła układu krążenia
A52.1,Kiła objawowa układu nerwowego
A52.2,Kiła bezobjawowa układu nerwowego
A52.3,Kiła układu nerwowego, nieokreślona
A52.7,Inne postacie kiły późnej objawowej
A52.8,Kiła późna utajona
A52.9,Kiła późna, nieokreślona
A53.0,Kiła utajona nieokreślona, tak wczesna jak i późna
A53.9,Kiła, nieokreślona
A54.0,Zakażenie rzeżączkowe dolnego odcinka układu moczowo-płciowego bez ropnia gruczołów przycewkowych lub dodatkowych
A54.1,Zakażenie rzeżączkowe dolnego odcinka ukladu moczowo-płciowego z ropniem gruczołów przycewkowych i dodatkowych
A54.2,Rzeżączkowe zapalenie otrzewnej miednicy oraz inne rzeżączkowe zakażenia układu moczowo-płciowego
A54.3,Rzeżączkowe zakażenie narządu wzroku
A54.4,Rzeżączkowe zakażenie układu kostno-mięśniowego
A54.5,Rzeżączkowe zapalenie gardła
A54.6,Rzeżączkowe zakażenie odbytu i odbytnicy
A54.8,Inne zakażenia rzeżączkowe
A54.9,Zakażenie rzeżączkowe, nieokreślone
A55,Ziarnica weneryczna wywołana przez Chlamydie
A56.0,Zakażenia dolnego odcinka układu moczowo-płciowego wywołane przez Chlamydie
A56.1,Zakażenia otrzewnej miednicy i innych narządów układu moczowo-płciowego wywołane przez Chlamydie
A56.2,Zakażenia układu moczowo-płciowego wywołane przez Chlamydie, nieokreślone
A56.3,Zakażenie odbytu i odbytnicy wywołane przez Chlamydie
A56.4,Zakażenie gardła wywołane przez Chlamydie
A56.8,Zakażenie umiejscowione gdzie indziej, przenoszone drogą płciową, wywołane przez Chlamydie
A57,Wrzód weneryczny
A58,Ziarniniak pachwinowy
A59.0,Rzęsistkowica narządów moczowo-płciowych
A59.8,Rzęsistkowica umiejscowiona gdzie indziej
A59.9,Rzęsistkowica, nieokreślona
A60.0,Opryszczkowe [herpes simplex] zakażenie narządów płciowych i układu moczowo-płciowego
A60.1,Opryszczkowe zakażenie skóry okolicy odbytowej oraz odbytnicy
A60.9,Opryszczkowe zakażenie okolicy odbytowej i moczowo-płciowej, nieokreślone
A63.0,Brodawki okolicy odbytowej (płciowe) - kłykciny kończyste
A63.8,Inne określone choroby przenoszone głównie drogą płciową
A64,Choroby przenoszone drogą płciową, nieokreślone
A65,Kiła nieweneryczna
A66.0,Zmiana pierwotna malinicza
A66.1,Malinicze brodawki i sączące pęknięcia szczelinowate
