A01, Badania laboratoryjne i inne -> Analityka -> Badanie ogólne moczu (profil)
A03, Badania laboratoryjne i inne -> Analityka -> Badanie płynu mózgowo-rdzeniowego
A05, Badania laboratoryjne i inne -> Analityka -> Badanie płynu z jamy ciała (opłucnej, otrzewnej)
A07, Badania laboratoryjne i inne -> Analityka -> Białko w moczu
A09, Badania laboratoryjne i inne -> Analityka -> Bilirubina w moczu
A11, Badania laboratoryjne i inne -> Analityka -> Ciała ketonowe w moczu
A12, Badania laboratoryjne i inne -> Analityka -> Ciężar właściwy moczu
A13, Badania laboratoryjne i inne -> Analityka -> Erytrocyty/ hemoglobina w moczu
A14, Badania laboratoryjne i inne -> Analityka -> Leukocyty w moczu
A15, Badania laboratoryjne i inne -> Analityka -> Glukoza w moczu
A17, Badania laboratoryjne i inne -> Analityka -> Krew utajona w kale
A19, Badania laboratoryjne i inne -> Analityka -> Osad moczu
A21, Badania laboratoryjne i inne -> Analityka -> Pasożyty/ jaja pasożytów w kale
A23, Badania laboratoryjne i inne -> Analityka -> Resztki pokarmowe w kale
A25, Badania laboratoryjne i inne -> Analityka -> Urobilinogen w moczu
C01, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Erytroblasty
C02, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Erytrocyty – liczba
C03, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Erytrocyty – oporność osmotyczna
C05, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Erytrocyty – próba Hama
C07, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Erytrocyty – próba sacharozowa
C09, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Erytrogram
C10, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Inne antygeny grupowe krwinek czerwonych
C11, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Fosfataza zasadowa granulocytów
C13, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Granulocyty – badanie aktywności fagocytarnej
C15, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Granulocyty zasadochłonne – test bezpośredniej degranulacji
C19, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Hemoglobina, rozdział
C21, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Leukocyty – badanie aktywności peroksydazy (POX)
C23, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Leukocyty – badanie aktywności esterazy nieswoistej
C27, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Leukocyty – badanie immunofenotypowe komórek blastycznych
C29, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Leukocyty – barwienie sudanem czarnym B
C30, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Leukocyty – liczba
C31, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Leukocyty – reakcja PAS
C32, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Leukocyty – obraz odsetkowy
C33, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Limfadenogram
C35, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Limfoblasty
C37, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Limfocyty B
C39, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Limfocyty BCD5+
C41, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Limfocyty T
C43, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Limfocyty TCD4+
C45, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Limfocyty TCD8+
C47, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Metamielocyty
C49, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Mieloblasty
C51, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Mielogram
C53, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Morfologia krwi 8-parametrowa
C55, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Morfologia krwi, z pełnym różnicowaniem granulocytów
C57, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Objętość krwi krążącej
C59, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Odczyn opadania krwinek czerwonych
C61, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Płytki krwi - badanie adhezji
C63, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Płytki krwi - badanie agregacji
C65, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Płytki krwi - czas przeżycia
C66, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Płytki krwi – liczba
C67, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Promielocyty
C69, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Retykulocyty
C71, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Splenogram
C73, Badania laboratoryjne i inne -> Morfologia krwi i badania hematologiczne -> Test hamowania migracji makrofagów
E05, Badania laboratoryjne i inne -> Serologia grup krwi -> Badanie w kierunku nieregularnych przeciwciał
E20, Badania laboratoryjne i inne -> Serologia grup krwi -> Próba zgodności serologicznej
E21, Badania laboratoryjne i inne -> Serologia grup krwi -> Diagnostyka konfliktu matczyno-płodowego
E31, Badania laboratoryjne i inne -> Serologia grup krwi -> Kwalifikacja do podania immunoglobuliny anty-Rh(D) 
